Z,BRHO
39.96,0.5474
42.464,0.5935
45.005,0.6302
47.457,0.6532
49.962,0.6804
52.467,0.7075
54.972,0.7333
57.477,0.7455
59.946,0.7645
62.433,0.7808
65.01,0.8053
67.479,0.8202
69.913,0.8392
72.4,0.861
74.941,0.9003
77.606,0.9288
79.933,0.9654
82.473,1.002
84.978,1.0346
87.536,1.0834
90.077,1.1241
92.493,1.1756
94.926,1.2326
97.538,1.2909
99.918,1.3573
102.405,1.4346
104.962,1.5349
107.395,1.6569
109.952,1.825
112.438,2.0608
114.94,2.3955
117.405,2.9254
119.974,3.7926
